MES,,,,,,,,,,,,
,Boutique,Juntos House,Picadeli,Farm Shop,Tasting Place ,Distribution,Activities,TOTAL,,,,
1,"2,740","  28,494 ","60,480","11,782","32,700","11,779",0,"147,975",,,products?,
2,0,  - ,"57,600","14,866","28,800","12,957",0,"114,224",,,1,796
3,"6,490","  67,716 ","40,460","16,250","31,500","12,492",0,"174,909",,,2,"1,254"
4,"14,885","  144,230 ","81,900","21,855","43,920","40,067","3,780","350,637",,,3,"1,443"
5,"20,105","  252,000 ","88,920","30,299","68,000","34,941","4,725","498,990",,,4,"1,846"
6,"23,800","  260,400 ","98,800","40,111","80,960","46,638","3,780","554,489",,,5,"2,515"
7,"32,980","  278,800 ","104,895","48,564","91,160","59,081","4,320","619,800",,,6,"1,858"
8,"32,732","  272,308 ","81,900","44,706","100,600","50,345","4,185","586,777",,,7,"1,619"
9,"24,600","  230,000 ","106,470","37,938","80,480","34,232","3,780","517,500",,,8,"2,278"
10,"9,100","  172,800 ","97,470","27,092","51,190","26,695","1,350","385,698",,,9,"1,651"
11,"6,380","  86,280 ","83,125","21,017","24,840","35,415","1,080","258,137",,,10,"1,402"
12,"11,280","  121,460 ","75,240","21,397","23,640","22,126",810,"275,953",,,11,"1,922"
TOTAL,"185,092","  1,914,488 ","977,260","335,878","657,790","386,771","27,810","4,485,089",,,12,"3,996"